bin	address	file_date	job_num	doc_num	job type	job_status	status_date	lic_num	applicant	in audit	zoning	details
1061003	691 ST NICHOLAS AVENUE MANHATTAN	11/02/2016	122239434	03	NB	R PERMIT-ENTIRE	08/03/2017	0081165 PE	MALYUCHE		GRANTED 01/03/2017	" 
		
			 SUBMITTING PLUMBING AND MECHANICAL PLANS IN CONJUNCTION WITH NEW BUILDING
		  
		
			 Work on Floor(s): ROF                      001 thru 006
"
1061003	691 ST NICHOLAS AVENUE MANHATTAN	06/22/2016	122797465	01	A2	R PERMIT-ENTIRE	05/23/2017	0081165 PE	MALYUCHE		NOT APPLICABLE	" 
		
			 INSTALL NEW MANUAL AND AUTOMATIC SMOKE/HEAT/CO DETECTION AND SPRINKLER ALA
		  
		
			 Work on Floor(s): ROF                      001 thru 006
"
1061003	691 ST NICHOLAS AVENUE MANHATTAN	06/09/2016	122796894	01	A2	P APPROVED	11/28/2017	0081165 PE	MALYUCHE		NOT APPLICABLE	" 
		
			 FILING FOR NEW SPRINKLER/STANDPIPE SYSTEM IN CONJUNCTION WITH NEW BUILDING
		  
		
			 Work on Floor(s): ROF                      001 thru 006
"
1061003	691 ST NICHOLAS AVENUE MANHATTAN	12/16/2015	122608730	02	DM	X SIGNED OFF	12/28/2016	0082064 PE	DJOHAN		NOT APPLICABLE	" 
		
			 MECHANICAL MEANS SUBMITTED FOR USE OF MECHANICAL EQUIPMENT AT THE TIME OF
		  
		
			 Work on Floor(s): 001
"
1061003	691 ST NICHOLAS AVENUE MANHATTAN	12/16/2015	122608730	01	DM	X SIGNED OFF	12/28/2016	0082064 PE	DJOHAN		NOT APPLICABLE	" 
		
			 FULL DEMOLITION OF A ONE STORY GARAGE, USING MECHANICAL MEANS.
		  
		
			 Work on Floor(s): 001
"
1061003	691 ST NICHOLAS AVENUE MANHATTAN	12/01/2015	122620379	01	A2	R PERMIT-ENTIRE	10/24/2017	0082064 PE	HADIPRAW		NOT APPLICABLE	" 
		
			 FILING FOR SUPPORT OF EXCAVATION IN CONJUNCTION WITH NB #122239434. NO CHA
		  
		
			 Work on Floor(s): GRD
"
1061003	691 ST NICHOLAS AVENUE MANHATTAN	05/22/2015	122239434	02	NB	R PERMIT-ENTIRE	04/04/2017	0060005 PE	WEXLER		GRANTED 01/03/2017	" 
		
			 FOUNDATION AND STRUCTURAL WORK FOR A NEW MIXED-USE BUILDING WITH SCHOOL ON
		  
		
			 Work on Floor(s): ROO                      001 thru 008
"
1061003	691 ST NICHOLAS AVENUE MANHATTAN	12/30/2014	122239434	01	NB	R PERMIT-ENTIRE	08/03/2017	0029627 RA	OCASIO		GRANTED 01/03/2017	" 
		
			 PROPOSED NEW 6-STORY EDUCATIONAL BUILDING
		  
		
			 Work on Floor(s): ROF                      001 thru 006
"
1061003	691 ST NICHOLAS AVENUE MANHATTAN	04/23/2013	121598137	01	A2	X SIGNED OFF	05/22/2013	0056290 PE	GULFIN		NOT APPLICABLE	" 
		
			 ENVIROMENTAL EXCAVATION
		"
1059740	1488 AMSTERDAM AVENUE MANHATTAN	06/27/2015	140367975	01	A3	X SIGNED OFF	05/03/2017	0066791 PE	PARIHAR		NOT APPLICABLE	" 
		
			 PROPOSED INSTALLATION OF HEAVY DUTY SIDEWALK SHED FILED FOR REMEDIAL REPAI
		  
		
			 Work on Floor(s): OSP
"
1059740	1488 AMSTERDAM AVENUE MANHATTAN	09/09/2011	120820184	01	A2	R PERMIT-ENTIRE	03/20/2012	0033652 RA	STILES		NOT APPLICABLE	" 
		
			 WINDOW CAULKING AS PER PLANS.  NO CHANGE IN USE OCCUPANCY OR EGRESS UNDER
		  
		
			 Work on Floor(s): OSP
"
1059740	1488 AMSTERDAM AVENUE MANHATTAN	08/10/2011	120252109	02	A2	P APPROVED	09/22/2011		SAYERS		NOT APPLICABLE	" 
		
			 POST APPROVAL AMENDMENT FOR 01
		  
		
			 Work on Floor(s): CEL
"
1059740	1488 AMSTERDAM AVENUE MANHATTAN	06/17/2011	120729337	01	A3	R PERMIT-ENTIRE	07/25/2011	0029017 RA	WESOLOWS		NOT APPLICABLE	" 
		
			 INSTALLATION OF TEMPORARY HEAVY DUTY SIDEWALK SHED FOR REMEDIAL REPAIRS AS
		  
		
			 Work on Floor(s): OSP
"
1059740	1488 AMSTERDAM AVENUE MANHATTAN	06/03/2011	120712354	01	A2	R PERMIT-ENTIRE	06/03/2011	0033652 RA	STILES		NOT APPLICABLE	" 
		
			 BOILER ENCLOSURE IN BASEMENT AS PER PLANS.  NO CHANGE IN USE OCCUPANCY OR
		  
		
			 Work on Floor(s): CEL
"
1059740	1488 AMSTERDAM AVENUE MANHATTAN	01/29/2010	120252109	01	A2	R PERMIT-ENTIRE	02/21/2012	0077987 PE	SAYERS		NOT APPLICABLE	" 
		
			 REPLACE EXISTING GAS BOILER WITH SAME SIZE AND MODEL. NO CHANGE TO USE, EG
		  
		
			 Work on Floor(s): CEL
"
1059740	1488 AMSTERDAM AVENUE MANHATTAN	08/05/2009	120121091	01	A3	R PERMIT-ENTIRE	08/05/2009	0080123 PE	SYED-NAQ		NOT APPLICABLE	" 
		
			 REPOINTING OF FACADE AND REMOVE AND REPLACE STUCCO AS NEE AS PER PLANS, NO
		"
1058876	237 WEST  135 STREET MANHATTAN	04/24/1995	101024437	01	A2	P APPROVED	04/25/1995	0014851 RA	BOUCHARD		NOT APPLICABLE	" 
		
			 INSTALLATION OF NEW STEEL BEAM REPLACE WOODEN BEAN AT CELLAR.  NO
		  
		
			 Work on Floor(s): CEL
"
1058876	237 WEST  135 STREET MANHATTAN	02/02/1994	100727787	01	A2	P APPROVED	02/02/1994	0017617 PE	JAMIL		NOT APPLICABLE	" 
		
			 REPLACE FLOOR BEAMS, SUB FLOOR BULKHAED PATCH ROOF LEGALIZE WORK WITHOUT
		  
		
			 Work on Floor(s): 1
"
1058876	237 WEST  135 STREET MANHATTAN	02/26/1993	100586803	01	A2	R PERMIT-ENTIRE	03/05/1993	0018190 RA	ESHKAR		NOT APPLICABLE	" 
		
			 REPLACE WATER DOMESTIC PIPING. REPLACE GAS LINES. REPLACE 4 FIXTURES.
		  
		
			 Work on Floor(s): CEL                      001 thru 005
"
1058876	237 WEST  135 STREET MANHATTAN	12/30/1992	100573112	01	A2	R PERMIT-ENTIRE	01/13/1993	0016416 RA	IRIZARRY		NOT APPLICABLE	" 
		
			 REPLACE EXISTING FRONT STAIRS WITH NEW STAIRS. THERE WILL BE NO CHANGE
		  
		
			 Work on Floor(s): GRA,DE
"
1058876	237 WEST  135 STREET MANHATTAN	01/09/1991	100164028	01	A3	R PERMIT-ENTIRE	01/15/1991		REDDICON		NOT APPLICABLE	" 
		
			 INSTALLATION OF A 25' SHED AT 237 W 135 ST. NO CHANGE IN USE EGRESS OR
		  
		
			 Work on Floor(s): GRD
"
1058876	237 WEST  135 STREET MANHATTAN	08/13/1990	100089529	01	A2	Q PERMIT-PARTIAL	09/07/1990	0043105 PE	PEROTTO		NOT APPLICABLE	" 
		
			 REPLACE OIL BURNER AND ERECT METAL CHIMNEY.
		"
1059148	498 MANHATTAN AVENUE MANHATTAN	07/12/2016	140518759	01	A2	R PERMIT-ENTIRE	07/14/2016	0019112 RA	KRESHTOO		NOT APPLICABLE	" 
		
			 HEREWITH FILE PLANS TO INSTALL NEW DOOR INTO ELECTRICAL METER ROOM; AND MI
		  
		
			 Work on Floor(s): CEL
"
1059148	498 MANHATTAN AVENUE MANHATTAN	05/13/2015	140347042	01	A2	X SIGNED OFF	12/07/2015	0019112 RA	KRESHTOO		NOT APPLICABLE	" 
		
			 HEREWITH FILE PLANS TO INSTALL CONVENIENCE STAIR IN APT. 1 TO CELLAR AND C
		  
		
			 Work on Floor(s): CEL,001
"
1059148	498 MANHATTAN AVENUE MANHATTAN	03/27/2015	140326555	01	A2	X SIGNED OFF	12/07/2015	0019112 RA	KRESHTOO		NOT APPLICABLE	" 
		
			 HEREWITH FILE PLANS TO RENOVATE APT. 1 AND APT. 2. WORK TO INCLUDE  PARTIT
		  
		
			 Work on Floor(s): 001,002
"
1059148	498 MANHATTAN AVENUE MANHATTAN	07/03/2014	140221640	01	A2	H P/E IN PROCESS	07/03/2014	0019112 RA	KRESHTOO		NOT APPLICABLE	" 
		
			 ADMIN CLOSED 09/01/2014 HEREWITH FILE PLANS TO RENOVATE APT. 1. WORK TO IN
		  
		
			 Work on Floor(s): 001
"
1059148	498 MANHATTAN AVENUE MANHATTAN	10/21/2011	120868249	01	A3	X SIGNED OFF	06/28/2012	0083278 PE	HOQUE		NOT APPLICABLE	" 
		
			 INSTALLATION OF HEAVY DUTY SIDEWALK SHED AS PER PLANS. NO CHANGE IN USE, E
		  
		
			 Work on Floor(s): 001
"
1059148	498 MANHATTAN AVENUE MANHATTAN	09/27/1996	100338635	02	A1	P APPROVED	10/08/1996	0011052 RA	GERSTENF		NOT APPLICABLE	" 
		
			 POST APPROVAL AMENDMENT FOR 01
		  
		
			 Work on Floor(s): CLR                      01  thru 05
"
1059148	498 MANHATTAN AVENUE MANHATTAN	10/23/1991	100338635	01	A1	X SIGNED OFF	03/14/1997	0011052 RA	GERSTENF		NOT APPLICABLE	" 
		
			 COMPLETE INTERIOR RENOVATIONS INCLUDING NEW ROOFING, NEW WINDOWS, NEW
		"
1075475	308 WEST  133 STREET MANHATTAN	07/26/2017	140673867	01	A3	R PERMIT-ENTIRE	07/28/2017	0082770 PE	BAILEY		NOT APPLICABLE	" 
		
			 PROPOSED INSTALLATION OF PIPE SCAFFOLD AS PER PLANS. NO CHANGE IN USE, EGR
		  
		
			 Work on Floor(s): OSP
"
1075475	308 WEST  133 STREET MANHATTAN	04/18/2017	140622663	02	A3	P APPROVED	07/05/2017		BAILEY		NOT APPLICABLE	" 
		
			 POST APPROVAL AMENDMENT FOR 01 PROPOSED INSTALLATION OF PERSONNEL MATERIAL
		  
		
			 Work on Floor(s): OSP
"
1075475	308 WEST  133 STREET MANHATTAN	03/28/2017	140622663	01	A3	R PERMIT-ENTIRE	03/29/2017	0082770 PE	BAILEY		NOT APPLICABLE	" 
		
			 PROPOSED INSTALLATION OF PERSONNEL MATERIAL HOIST AS PER PLANS. NO CHANGE
		  
		
			 Work on Floor(s): OSP
"
1075475	308 WEST  133 STREET MANHATTAN	02/24/2017	140609330	01	A3	R PERMIT-ENTIRE	02/27/2017	0082770 PE	BAILEY		NOT APPLICABLE	" 
		
			 PROPOSED INSTALLATION OF HEAVY DUTY SIDEWALK SHED AS PER PLANS. NO CHANGE
		  
		
			 Work on Floor(s): OSP
"
1075475	308 WEST  133 STREET MANHATTAN	12/05/2016	122791602	02	A2	P APPROVED	12/13/2016		YUBUN		NOT APPLICABLE	" 
		
			 POST APPROVAL AMENDMENT FOR 01
		  
		
			 Work on Floor(s): OSP
"
1075475	308 WEST  133 STREET MANHATTAN	09/15/2016	140549869	01	A3	H P/E IN PROCESS	09/15/2016	0085110 PE	ODIGIE		NOT APPLICABLE	" 
		
			 ADMIN CLOSED 11/14/2016 INSTALLATION OF PIPE SCAFFOLD AND NEEDLE BEAMS AS
		  
		
			 Work on Floor(s): OSP
"
1075475	308 WEST  133 STREET MANHATTAN	08/30/2016	140542321	01	A3	H P/E IN PROCESS	08/30/2016	0083278 PE	HOQUE		NOT APPLICABLE	" 
		
			 JOB WITHDRAWN 09/15/2016 INSTALLATION OF PIPE SCAFFOLD AND NEEDLE BEAMS AS
		  
		
			 Work on Floor(s): OSP
"
1075475	308 WEST  133 STREET MANHATTAN	07/14/2016	140490092	02	A3	P APPROVED	07/18/2016		HOQUE		NOT APPLICABLE	" 
		
			 POST APPROVAL AMENDMENT FOR 01
		  
		
			 Work on Floor(s): OSP
"
1075475	308 WEST  133 STREET MANHATTAN	06/29/2016	122821394	01	A2	R PERMIT-ENTIRE	11/29/2016	0060930 PE	SALAMON		NOT APPLICABLE	" 
		
			 INSTALLATION OF AUTOMATIC SMOKE DETECTION,SPRINKLER FIRE ALARM
		  
		
			 Work on Floor(s): CEL,ROF                  001 thru 011
"
1075475	308 WEST  133 STREET MANHATTAN	06/06/2016	122791602	01	A2	R PERMIT-ENTIRE	10/06/2016	0008621 PE	YUBUN		NOT APPLICABLE	" 
		
			 SOE APPLICATION FILED HEREWITH FOR UNDERPINNING, EXCAVATION,SHEETING,SHORI
		  
		
			 Work on Floor(s): OSP
"
1075475	308 WEST  133 STREET MANHATTAN	05/19/2016	122778333	01	A3	R PERMIT-ENTIRE	01/12/2017	0034322 RA	LU		NOT APPLICABLE	" 
		
			 BPP APPLICATION FILED HEREWITH IN CONJUNCTION WITH NEW BUILDING  APPLICATI
		  
		
			 Work on Floor(s): OSP
"
1075475	308 WEST  133 STREET MANHATTAN	05/05/2016	140490092	01	A3	X SIGNED OFF	01/31/2017	0083278 PE	HOQUE		NOT APPLICABLE	" 
		
			 INSTALLATION OF PIPE SCAFFOLD, NEEDLE BEAMS AND ROOF PROTECTION AS PER PLA
		  
		
			 Work on Floor(s): OSP
"
1075475	308 WEST  133 STREET MANHATTAN	05/05/2016	140490074	01	A3	X SIGNED OFF	01/31/2017	0083278 PE	HOQUE		NOT APPLICABLE	" 
		
			 INSTALLATION OF HEAVY DUTY SIDEWALK SHED AS PER PLANS. LIVE LOAD 300 PSF.
		  
		
			 Work on Floor(s): OSP
"
1075475	308 WEST  133 STREET MANHATTAN	02/02/2016	140454176	01	A2	R PERMIT-ENTIRE	11/15/2016	0060930 PE	SALAMON		NOT APPLICABLE	" 
		
			 SPRINKLER AND STANDPIPE APPLICATION FILED HEREWITH IN  CONJUNCTION TO NEW
		  
		
			 Work on Floor(s): CEL,ROF                  001 thru 011
"
1075475	308 WEST  133 STREET MANHATTAN	01/29/2016	122620333	03	NB	R PERMIT-ENTIRE	01/11/2017	0060930 PE	SALAMON		GRANTED 05/25/2016	" 
		
			 SUBSEQUENT MECHANICAL AND PLUMBING APPLICATION FILED HEREWITH
		  
		
			 Work on Floor(s): CEL                      001 thru 011
"
1075475	308 WEST  133 STREET MANHATTAN	01/29/2016	122620333	02	NB	R PERMIT-ENTIRE	12/15/2016	0088621 PE	YUBUN		GRANTED 05/25/2016	" 
		
			 SUBSEQUENT STRUCTURAL APPLICATION FILED HEREWITH
		  
		
			 Work on Floor(s): CEL                      001 thru 011
"
1075475	308 WEST  133 STREET MANHATTAN	01/27/2016	140451106	01	A2	J P/E DISAPPROVED	03/28/2016	0008621 PE	YUBUN		NOT APPLICABLE	" 
		
			 JOB WITHDRAWN 09/24/2016 SOE APPLICATION FILED HEREWITH FOR UNDERPINNING,
		  
		
			 Work on Floor(s): OSP
"
1075475	308 WEST  133 STREET MANHATTAN	01/13/2016	122629183	02	DM	X SIGNED OFF	12/13/2016	0087797 PE	HELMAN		NOT APPLICABLE	" 
		
			 MECHANICAL MEANS SUBMITTED FOR USE OF MECHANICAL EQUIPMENT AT THE TIME OF
		  
		
			 Work on Floor(s):                          001 thru 004
"
1075475	308 WEST  133 STREET MANHATTAN	01/13/2016	122629183	01	DM	X SIGNED OFF	12/13/2016	0087797 PE	HELMAN		NOT APPLICABLE	" 
		
			 FULL DEMOLITION OF A FOUR STORY PLACE OF WORSHIP, USING MECHANICAL MEANS
		  
		
			 Work on Floor(s):                          001 thru 004
"
1075475	308 WEST  133 STREET MANHATTAN	12/01/2015	122620333	01	NB	R PERMIT-ENTIRE	12/18/2017	0034322 RA	LU		GRANTED 05/25/2016	" 
		
			 PROPOSED NEW 11 STORY AND CELLAR MIXED USE BUILDING. TOTAL OF 46 DWELLING
		  
		
			 Work on Floor(s): CEL                                    001 thru 011
"
1075475	308 WEST  133 STREET MANHATTAN	05/14/2015	122113239	03	A2	P APPROVED	05/14/2015		ARTHUR		NOT APPLICABLE	" 
		
			 POST APPROVAL AMENDMENT FOR 01
		  
		
			 Work on Floor(s): 001,002
"
1075475	308 WEST  133 STREET MANHATTAN	10/02/2014	122113239	02	A2	P APPROVED	10/23/2014		PHILIBER		NOT APPLICABLE	" 
		
			 POST APPROVAL AMENDMENT FOR 01 INSTALL SHORING AND BRACINGS, PARTIAL DEMOL
		  
		
			 Work on Floor(s): 001,002
"
1075475	308 WEST  133 STREET MANHATTAN	08/26/2014	122113239	01	A2	R PERMIT-ENTIRE	02/09/2015	0077053 PE	ARTHUR		NOT APPLICABLE	" 
		
			 INSTALL SHORING AND BRACINGS, PARTIAL DEMOLITION OF EXTERIOR WALL.  REPLAC
		  
		
			 Work on Floor(s): 001,002
"
1075475	308 WEST  133 STREET MANHATTAN	08/13/2014	122099834	01	A2	P APPROVED	08/25/2014	0074760 PE	PHILIBER		NOT APPLICABLE	" 
		
			 PROVIDING A TEMPORORY SHED FOR SAFETY OF THE PUBLIC AT THE ABOVE MENTION
		  
		
			 Work on Floor(s): OSP
"
1075475	308 WEST  133 STREET MANHATTAN	08/01/2014	122087062	01	A2	R PERMIT-ENTIRE	08/05/2014	0074760 PE	PHILIBER		NOT APPLICABLE	" 
		
			 PROPOSE TO EXPOSE CEILING AND WALL SHEATING FROM FACE OF WALL TO FACILITAT
		"
1061312	340 CONVENT AVENUE MANHATTAN	10/10/2017	140705217	01	A3	H P/E IN PROCESS	10/10/2017	0063077 PE	FALADE		NOT APPLICABLE	" 
		
			 ADMIN CLOSED 12/09/2017 REPAIR DETERIORATED SURFACES ON STEPS, RISERS AND
		  
		
			 Work on Floor(s): OSP
"
1061312	340 CONVENT AVENUE MANHATTAN	07/18/2017	140669747	01	A2	D A/P ENTIRE	07/18/2017	0063077 PE	FALADE		NOT APPLICABLE	" 
		
			 ADMIN CLOSED 09/16/2017 REPAIR DETERIORATED SURFACES ON STEPS, RISER AND L
		  
		
			 Work on Floor(s): OSP
"
1061312	340 CONVENT AVENUE MANHATTAN	08/27/2009	120142924	01	A2	R PERMIT-ENTIRE	12/07/2009	0028955 RA	WOO		NOT APPLICABLE	" 
		
			 CORRECT DOB VIOLATIONS, REPOINT BRICK WALL, REMOVE AND REPAIR METAL FENCE,
		  
		
			 Work on Floor(s): OSP
"
1061312	340 CONVENT AVENUE MANHATTAN	05/28/2003	103469220	01	A3	R PERMIT-ENTIRE	06/02/2003	0077036 PE	MOHAMMED		NOT APPLICABLE	" 
		
			 We shall install 100 linear feet of heavy-duty sidewalk shed in front of 3
		"
1058863	2288    7 AVENUE MANHATTAN	09/20/1999	102453131	01	A1	R PERMIT-ENTIRE	12/07/1999	0021199 RA	SMITH II		NOT APPLICABLE	" 
		
			 RENOVATION TO EXISTING BUILDING. NEW PLUMBING FIXTURES ON 1ST./2ND
		"
1085354	423 WEST  125 STREET MANHATTAN	07/21/2017	123348706	01	A2	R PERMIT-ENTIRE	07/21/2017	0065657 PE	CHAN		NOT APPLICABLE	" 
		
			 HEREWITH FILE TO RENOVATE EXISTING APARTMENT UNIT #15 INCLUDES G.W.B. WALL
		  
		
			 Work on Floor(s): 004
"
1085354	423 WEST  125 STREET MANHATTAN	01/12/2017	122925889	01	A2	R PERMIT-ENTIRE	01/12/2017	0065657 PE	CHAN		NOT APPLICABLE	" 
		
			 HEREWITH FILE TO RENOVATE EXISTING APARTMENT UNIT #7 INCLUDES G.W.B. WALL,
		  
		
			 Work on Floor(s): 003
"
1085354	423 WEST  125 STREET MANHATTAN	03/13/2014	121941006	01	A2	X SIGNED OFF	07/08/2014	0083433 PE	CHANG		NOT APPLICABLE	" 
		
			 HEREWITH FILE TO RENOVATE EXISTING APARTMENT UNIT #2 INCLUDES REPLACE PLUM
		  
		
			 Work on Floor(s): 002
"
1085354	423 WEST  125 STREET MANHATTAN	04/29/2013	121603256	01	A3	X SIGNED OFF	09/05/2013	0083433 PE	CHANG		NOT APPLICABLE	" 
		
			 HEREWITH FILE TO RENOVATE EXISTING APARTMENT UNIT #17 INCLUDES INSTALL G.W
		  
		
			 Work on Floor(s): 005
"
1085354	423 WEST  125 STREET MANHATTAN	03/21/2012	110454259	02	A2	P APPROVED	04/26/2012		HUNTER		NOT APPLICABLE	" 
		
			 POST APPROVAL AMENDMENT FOR 01
		  
		
			 Work on Floor(s): 003
"
1085354	423 WEST  125 STREET MANHATTAN	02/17/2012	120980233	01	A3	X SIGNED OFF	04/18/2013	0083278 PE	HOQUE		NOT APPLICABLE	" 
		
			 ERECT PIPE SCAFFOLD AS PER PLANS. NO CHANGE IN USE, EGRESS OR OCCUPANCY. W
		  
		
			 Work on Floor(s): OSP
"
1085354	423 WEST  125 STREET MANHATTAN	02/16/2012	120981223	01	A3	X SIGNED OFF	04/18/2013	0083278 PE	HOQUE		NOT APPLICABLE	" 
		
			 INSTALLATION OF HEAVY DUTY SIDEWALK SHED AS PER PLANS. DURING REMEDIAL REP
		  
		
			 Work on Floor(s): OSP
"
1085354	423 WEST  125 STREET MANHATTAN	06/23/2009	120063368	01	A2	R PERMIT-ENTIRE	06/30/2009	0013383 RA	HUNTER		NOT APPLICABLE	" 
		
			 FILING FOR MINOR RENOVATION TO APARTMENT #7 ON THE 2 FLOOR.NO CHANGE IN
		  
		
			 Work on Floor(s): 002
"
1085354	423 WEST  125 STREET MANHATTAN	02/18/2009	110385155	02	A2	P APPROVED	02/20/2009		HUNTER		NOT APPLICABLE	" 
		
			 POST APPROVAL AMENDMENT FOR 01
		  
		
			 Work on Floor(s): 002
"
